photo_id,business_id,caption,label
HCUdRJHHm_e0OCTlZetGLg,yVZtL5MmrpiivyCIrVkGgA,,outside
vkr8T0scuJmGVvN2HJelEA,_ab50qdWOk0DdB6XOrBitw,oyster shooter,drink
3ROd5PAQ_0OkmoKWVO06ag,u9vhzYtXpfyvAOAMnyy-Cw,Inside reception,inside
RBBVVDG3t4lTTyl_vW2W3A,KRc2irAIY3pgGlV0p4znmQ,,inside
6LJa8QZOGBjt9maE5miLhw,368cyArdo0P0aDUOhhE4PA,Drive-thru menu,menu
T_QaBsquJlzAQd5bbCrLfA,jwpZzqoPFLuHE-FwLp41cQ,Courtyard at Bistro di Marino,outside
56xUu0i5oOBj9GdZqIg9_w,WMkiheTT-8kRslImVLWMVw,View from outside.,outside
pu4LCGga1mc9eCEHN3CqQA,NRb2aT7MKQXAG2HhoU4JKQ,Summertime at the winery,outside
S1yAWDWwGbXr5RcW7FgvXA,9__7I7GTOTlOIRXD76VRBA,,food
DtsfhqhqUB-tjs5XbwJfXw,s-74t4aQKL2pWeQmIB-c1Q,Vegan Options,menu
kMgM6hD2GU-1q79cRP4IWw,1bG56xTahLSU2iP1UQDblQ,,outside
Iehiw_bcHnXw-pg0w2M06w,64jKdxGGwfHx4rutBBKWBQ,"New Keto Protein Punch! 15g protein, 3g of carbs , and you can add 1-2 energy shots to it!",drink
OPk3DV5RN-1Gxy6okCQBbg,yChy5PZZOAPf4WhUUpaZ1g,Take a little break for a little gambling while you're shopping.,inside
PJ38A9seHdxDit5bUImQgQ,LwX2vbzttWYAdoBoVtfvRg,,inside
u_0cFBUz15RZUgU3D8FHkQ,T0L0KltiJMAtrYHjqyuoMw,,drink
Ws7l1vvwfVOUiMy2dZP-ow,YCHBSWYErsKAI9AXeoPxhQ,Courtyard area,outside
8W68Sgq_FHBYtwwEa3IyWg,HE-9l_2RSingLV2RZItdsA,Donuts with Sprinkles,food
FtQ8QTZgNxxHSCzGZL5auQ,33l2XVp01d8kltTs_UMJ8A,Fried Chicken Salad Sandwich with Billy Goat Chips,food
VB75GlozO9ZzkhQC8mY6Ag,I-Kn6FzE4wqX4CF3dUa7cw,Currently providing takeout - so take advantage and keep them open for when we can dine in.,menu
szJlMiDU72JGHy_O9t6QyA,e8l4qKiNMzEOqm2PH18E2A,,food
EKApZPth7lD2hfve35xwvA,4U8tToDb49xGDzWfn5TPaA,,drink
dQlBDoOEiNbyXAS9mUGsIg,LACylKxImNI29DKUQpWuHw,Cheesy tots,food
U4FHzIRWPhgaHd5Tv9znyA,DRMEopD9Td8OoDk-JWm1Rw,,food
0Sm8GZGMrKcadvhdQuZ4LA,MSHk4H_8PvNEgwfAtGYEDQ,,drink
_1fqxF5C0e5YHk5-CRc8cg,dO4iyNK2KzLMe1kXLCskbw,,inside
FGeQf8E6YGHDml-IPXuDFg,6_T2xzR74JqGCTPefAD8Tw,,drink
9n5RobGsibyp8IriSszsSQ,htx6Uime2SkiE-zC7hxb-g,,menu
wj1s0PLJAQthM5hnPBTwdA,3Vrad15d3I7m5-0uvGJgUw,,drink
cklpUVFnNF4WxE4yMCRyZw,swVdc9piXvG0AXwL-F0GfQ,Happy hour menu,menu
uIy2pnooBdbzTtQoI1aArA,pXQLCX9N9WvkzXwyVJtcdg,Red Snapper,food
qUPWmFPvapc2F2mGexDOjA,hmb-FWyN9Cx-zL_aroSpiw,The best pastries in the Treasure Valley,food
ItCnim2wIw_DKzIW2jUAkA,LM54ufrINJWoTN5imV8Etw,The owner cooking up a storm,inside
wvuMavf_TIZeMmWgVZhq2Q,WAnrBuLWBVM6Uk5sYAmBIA,Outside,outside
iQXz2NYuejtwRSvkv3bLVw,XeLAOIv2Ky1wyzIjoTa3Mg,Pour over of Ecuador by Switchback,drink
rCE0BY_FFFblXBcq87Vg1Q,wCxiDaOI0LVWdqUEWoPv_A,,food
